192.168.178.1 - - [25/Apr/2025:10:25:11 +0000] "GET /login.php HTTP/1.1" 200 1191 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
172.18.0.6 - - [25/Apr/2025:10:46:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:46:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:46:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:46:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:46:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:46:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:46:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:46:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:47:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:48:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:49:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:50:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:51:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:52:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:53:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:54:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:52 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:55:52 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:56:07 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:56:07 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:56:22 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:56:22 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:56:37 +0000] "GET / HTTP/1.1" 302 442 "-" "Blackbox Exporter/0.26.0"
172.18.0.6 - - [25/Apr/2025:10:56:37 +0000] "GET /login.php HTTP/1.1" 200 1814 "http://172.18.0.2:80" "Blackbox Exporter/0.26.0"
